,,Title,,Year,Rating,,,Available On,,
34,,Charlie's Angels,,2019,13+,4.8/10,65/100,+ Rent or Buy,,Want To SeeSeen
35,,Wreck-It Ralph,,2012,7+,7.7/10,79/100,+ Rent or Buy,,Want To SeeSeen
36,,Relic,,2020,18+,6.0/10,65/100,+ Rent or Buy,,Want To SeeSeen
37,,American Pie Presents: Girls' Rules,,2020,18+,3.8/10,59/100,+ Rent or Buy,,Want To SeeSeen
38,,P!nk: All I Know So Far,,2021,N/A,8.1/10,57/100,,,Want To SeeSeen
39,,The Last Thing He Wanted,,2020,18+,4.3/10,49/100,,,Want To SeeSeen
40,,Veronica,,2017,18+,6.2/10,79/100,,,Want To SeeSeen
41,,Argo,,2012,18+,7.7/10,81/100,+ Rent or Buy,,Want To SeeSeen
42,,The United States vs. Billie Holiday,,2021,18+,6.3/10,66/100,,,Want To SeeSeen
43,,Don't Listen,,2020,N/A,6.1/10,59/100,,,Want To SeeSeen
44,,Color Out of Space,,2020,18+,6.2/10,67/100,+ Rent or Buy,,Want To SeeSeen
45,,The Mauritanian,,2021,18+,7.4/10,71/100,Rent or Buy,,Want To SeeSeen
46,,Burning,,2018,N/A,7.5/10,74/100,+ Rent or Buy,,Want To SeeSeen
47,,Hunter Killer,,2018,18+,6.6/10,70/100,+ Rent or Buy,,Want To SeeSeen
48,,Ride or Die,,2021,18+,5.5/10,55/100,,,Want To SeeSeen
49,,Now You See Me 2,,2016,13+,6.5/10,74/100,+ Rent or Buy,,Want To SeeSeen
0,,Hillbilly Elegy,,2020,18+,6.7/10,76/100,,,Want To SeeSeen
1,,Extinction,,2018,18+,5.8/10,71/100,,,Want To SeeSeen
2,,Life,,2017,18+,6.6/10,73/100,+ Rent or Buy,,Want To SeeSeen
3,,Brittany Runs a Marathon,,2019,18+,6.8/10,82/100,,,Want To SeeSeen
4,,Kill Chain,,2020,18+,5.0/10,52/100,,,Want To SeeSeen
5,,1922,,2017,18+,6.3/10,80/100,,,Want To SeeSeen
6,,The Secret Life of Pets 2,,2019,7+,6.5/10,71/100,+ Rent or Buy,,Want To SeeSeen
7,,Logan Lucky,,2017,13+,7.0/10,74/100,+ Rent or Buy,,Want To SeeSeen
8,,The Hunger Games: Mockingjay - Part 1,,2014,13+,6.6/10,76/100,+ Rent or Buy,,Want To SeeSeen
9,,Come True,,2021,N/A,6.0/10,60/100,Rent or Buy,,Want To SeeSeen
10,,Molly's Game,,2017,18+,7.4/10,74/100,Rent or Buy,,Want To SeeSeen
11,,The Call of the Wild,,2020,7+,6.8/10,71/100,+ Rent or Buy,,Want To SeeSeen
12,,Hidden Figures,,2016,7+,7.8/10,80/100,+ Rent or Buy,,Want To SeeSeen
13,,The Babysitter,,2017,18+,6.3/10,79/100,,,Want To SeeSeen
14,,The Rhythm Section,,2020,18+,5.3/10,64/100,+ Rent or Buy,,Want To SeeSeen
15,,Beautiful Boy,,2018,18+,7.3/10,83/100,,,Want To SeeSeen
16,,The Hunt,,2012,18+,8.3/10,81/100,+ Rent or Buy,,Want To SeeSeen
17,,The Vigil,,2019,13+,5.7/10,64/100,+ Rent or Buy,,Want To SeeSeen
18,,Girl in the Basement,,2021,16+,6.3/10,66/100,+ Rent or Buy,,Want To SeeSeen
19,,The Killing of a Sacred Deer,,2017,18+,7.0/10,74/100,+ Rent or Buy,,Want To SeeSeen
20,,Finding Dory,,2016,7+,7.3/10,77/100,+ Rent or Buy,,Want To SeeSeen
21,,Snowpiercer,,2013,18+,7.1/10,78/100,+ Rent or Buy,,Want To SeeSeen
22,,Star Wars: The Force Awakens,,2015,13+,7.9/10,83/100,+ Rent or Buy,,Want To SeeSeen
23,,Hell or High Water,,2016,18+,7.6/10,78/100,+ Rent or Buy,,Want To SeeSeen
24,,Mile 22,,2018,18+,6.1/10,71/100,+ Rent or Buy,,Want To SeeSeen
25,,The Favourite,,2018,16+,7.5/10,74/100,Rent or Buy,,Want To SeeSeen
26,,Wander,,2020,18+,4.9/10,60/100,+ Rent or Buy,,Want To SeeSeen
27,,Secret Society of Second Born Royals,,2020,7+,4.8/10,60/100,,,Want To SeeSeen
28,,Pirates of the Caribbean: On Stranger Tides,,2011,13+,6.6/10,75/100,+ Rent or Buy,,Want To SeeSeen
29,,Wind River,,2017,18+,7.7/10,79/100,+ Rent or Buy,,Want To SeeSeen
30,,Mandy,,2018,18+,6.5/10,69/100,+ Rent or Buy,,Want To SeeSeen
31,,War Dogs,,2016,18+,7.1/10,76/100,+ Rent or Buy,,Want To SeeSeen
32,,Snowden,,2016,18+,7.3/10,75/100,+ Rent or Buy,,Want To SeeSeen
33,,Charm City Kings,,2020,18+,6.7/10,64/100,,,Want To SeeSeen
34,,Annihilation,,2018,18+,6.8/10,74/100,Rent or Buy,,Want To SeeSeen
35,,The Scorpion King: Book of Souls,,2018,13+,4.7/10,55/100,+ Rent or Buy,,Want To SeeSeen
36,,Men in Black: International,,2019,13+,5.6/10,69/100,+ Rent or Buy,,Want To SeeSeen
37,,The Life Ahead,,2020,13+,6.8/10,81/100,,,Want To SeeSeen
38,,War for the Planet of the Apes,,2017,13+,7.4/10,75/100,+ Rent or Buy,,Want To SeeSeen
39,,The Jungle Book,,2016,7+,7.4/10,77/100,+ Rent or Buy,,Want To SeeSeen
40,,The Secret Life of Walter Mitty,,2013,7+,7.3/10,77/100,+ Rent or Buy,,Want To SeeSeen
41,,Ted 2,,2015,18+,6.3/10,70/100,Rent or Buy,,Want To SeeSeen
42,,Good Time,,2017,18+,7.4/10,74/100,+ Rent or Buy,,Want To SeeSeen
43,,Secret Magic Control Agency,,2021,7+,6.2/10,61/100,,,Want To SeeSeen
44,,The Killing of Two Lovers,,2021,18+,7.0/10,60/100,Rent or Buy,,Want To SeeSeen
45,,Kingsman: The Secret Service,,2014,18+,7.7/10,81/100,+ Rent or Buy,,Want To SeeSeen
46,,Vanguard,,2020,13+,4.7/10,56/100,Rent or Buy,,Want To SeeSeen
47,,Five Feet Apart,,2019,13+,7.2/10,71/100,+ Rent or Buy,,Want To SeeSeen
48,,How to Train Your Dragon 2,,2014,7+,7.8/10,79/100,+ Rent or Buy,,Want To SeeSeen
49,,The Hunger Games: Mockingjay - Part 2,,2015,13+,6.6/10,74/100,+ Rent or Buy,,Want To SeeSeen
0,,The Croods,,2013,7+,7.2/10,76/100,+ Rent or Buy,,Want To SeeSeen
1,,Ad Astra,,2019,13+,6.5/10,72/100,+ Rent or Buy,,Want To SeeSeen
2,,The Informer,,2019,18+,6.6/10,69/100,+ Rent or Buy,,Want To SeeSeen
3,,The Belko Experiment,,2016,18+,6.1/10,70/100,+ Rent or Buy,,Want To SeeSeen
4,,Geostorm,,2017,13+,5.3/10,68/100,+ Rent or Buy,,Want To SeeSeen
5,,Gifted,,2017,13+,7.6/10,74/100,Rent or Buy,,Want To SeeSeen
6,,Chemical Hearts,,2020,18+,6.3/10,63/100,,,Want To SeeSeen
7,,Real Steel,,2011,13+,7.0/10,76/100,+ Rent or Buy,,Want To SeeSeen
8,,Drive,,2019,13+,3.5/10,48/100,,,Want To SeeSeen
9,,Disobedience,,2017,18+,6.6/10,68/100,+ Rent or Buy,,Want To SeeSeen
10,,Weathering with You,,2019,13+,7.5/10,71/100,+ Rent or Buy,,Want To SeeSeen
11,,Django Unchained,,2012,18+,8.4/10,85/100,+ Rent or Buy,,Want To SeeSeen
12,,Dora and the Lost City of Gold,,2019,7+,6.1/10,66/100,+ Rent or Buy,,Want To SeeSeen
13,,Creed,,2015,13+,7.6/10,78/100,+ Rent or Buy,,Want To SeeSeen
14,,Vice,,2018,18+,7.2/10,74/100,+ Rent or Buy,,Want To SeeSeen
15,,Project X,,2012,18+,6.6/10,74/100,+ Rent or Buy,,Want To SeeSeen
16,,Suspiria,,2018,18+,6.7/10,70/100,+ Rent or Buy,,Want To SeeSeen
17,,Trumbo,,2015,18+,7.5/10,74/100,+ Rent or Buy,,Want To SeeSeen
18,,Warrior,,2011,13+,8.1/10,81/100,+ Rent or Buy,,Want To SeeSeen
19,,Justice Society: World War II,,2021,13+,6.4/10,66/100,Rent or Buy,,Want To SeeSeen
20,,To All the Boys: P.S. I Still Love You,,2020,16+,6.0/10,65/100,,,Want To SeeSeen
