Title,Unnamed: 3,Year,Rating,IMDB Score,Reelgood Rating Score,Available On,Unnamed: 9
Smallville,TV,2001,7+,7.5/10,80/100,+ Rent or Buy,No Free Episodes
Samurai Champloo,TV,2004,18+,8.5/10,80/100,+ Rent or Buy,No Free Episodes
Cruel Summer,TV,2021,16+,7.6/10,80/100,,2 Free Episodes
The Fosters,TV,2013,16+,7.9/10,80/100,+ Rent or Buy,No Free Episodes
Desperate Housewives,TV,2004,7+,7.5/10,80/100,+ Rent or Buy,178 Free Episodes
Bridgerton,TV,2020,,7.3/10,79/100,,No Free Episodes
The Flight Attendant,TV,2020,18+,7.1/10,79/100,,No Free Episodes
The Undoing,TV,2020,18+,7.4/10,79/100,+ Rent or Buy,No Free Episodes
Broad City,TV,2014,18+,8.4/10,79/100,+ Rent or Buy,1 Free Episodes
Alias Grace,TV,2017,18+,7.7/10,79/100,,No Free Episodes
Star Wars Rebels,TV,2014,7+,8.0/10,79/100,+ Rent or Buy,No Free Episodes
Stargate SG-1,TV,1997,13+,8.4/10,79/100,+ Rent or Buy,No Free Episodes
The Kominsky Method,TV,2018,18+,8.2/10,79/100,+ Rent or Buy,No Free Episodes
Undone,TV,2019,18+,8.2/10,79/100,,No Free Episodes
A Series of Unfortunate Events,TV,2017,7+,7.8/10,79/100,,No Free Episodes
The Missing,TV,2014,18+,8.2/10,79/100,+ Rent or Buy,No Free Episodes
Revenge,TV,2011,18+,7.8/10,79/100,+ Rent or Buy,No Free Episodes
Unbreakable Kimmy Schmidt,TV,2015,16+,7.6/10,79/100,,No Free Episodes
The Mentalist,TV,2008,16+,8.1/10,79/100,+ Rent or Buy,No Free Episodes
Sneaky Pete,TV,2015,18+,8.1/10,79/100,+ Rent or Buy,No Free Episodes
Borgen,TV,2010,18+,8.5/10,79/100,+ Rent or Buy,No Free Episodes
Call the Midwife,TV,2012,16+,8.4/10,79/100,+ Rent or Buy,No Free Episodes
Jane the Virgin,TV,2014,16+,7.8/10,79/100,+ Rent or Buy,1 Free Episodes
Dirk Gently's Holistic Detective Agency,TV,2016,16+,8.3/10,79/100,Rent or Buy,No Free Episodes
Doctor Who,TV,1963,7+,8.4/10,79/100,+ Rent or Buy,55 Free Episodes
SpongeBob SquarePants,TV,1999,7+,8.2/10,79/100,+ Rent or Buy,No Free Episodes
13 Reasons Why,TV,2017,18+,7.6/10,79/100,+ Rent or Buy,No Free Episodes
The Muppet Show,TV,1976,all,8.4/10,79/100,,No Free Episodes
Father Ted,TV,1995,16+,8.6/10,79/100,+ Rent or Buy,25 Free Episodes
Godfather of Harlem,TV,2019,18+,8.0/10,79/100,+ Rent or Buy,No Free Episodes
The Venture Bros.,TV,2004,18+,8.5/10,79/100,+ Rent or Buy,8 Free Episodes
Santa Clarita Diet,TV,2017,18+,7.8/10,79/100,,No Free Episodes
Parenthood,TV,2010,7+,8.2/10,79/100,+ Rent or Buy,103 Free Episodes
The Alienist,TV,2018,18+,7.7/10,79/100,+ Rent or Buy,No Free Episodes
Unorthodox,TV,2020,18+,8.0/10,79/100,,No Free Episodes
Supergirl,TV,2015,16+,6.2/10,79/100,+ Rent or Buy,12 Free Episodes
The Nevers,TV,2021,18+,7.4/10,79/100,,No Free Episodes
The Great,TV,2020,18+,8.1/10,79/100,+ Rent or Buy,No Free Episodes
Star Trek: Discovery,TV,2017,16+,7.2/10,79/100,+ Rent or Buy,No Free Episodes
Dollhouse,TV,2009,16+,7.7/10,79/100,+ Rent or Buy,26 Free Episodes
Star Trek: Voyager,TV,1995,7+,7.8/10,79/100,+ Rent or Buy,No Free Episodes
Continuum,TV,2013,16+,7.6/10,79/100,Rent or Buy,No Free Episodes
Eastbound & Down,TV,2009,18+,8.2/10,79/100,+ Rent or Buy,No Free Episodes
Law & Order: Special Victims Unit,TV,1999,16+,8.0/10,79/100,+ Rent or Buy,41 Free Episodes
Extras,TV,2005,18+,8.3/10,79/100,+ Rent or Buy,No Free Episodes
The Affair,TV,2014,18+,7.9/10,79/100,+ Rent or Buy,1 Free Episodes
Scandal,TV,2012,16+,7.7/10,79/100,+ Rent or Buy,No Free Episodes
Marvel's Luke Cage,TV,2016,18+,7.3/10,79/100,+ Rent or Buy,No Free Episodes
Farscape,TV,1999,16+,8.3/10,79/100,+ Rent or Buy,No Free Episodes
Southland,TV,2009,16+,8.4/10,78/100,+ Rent or Buy,No Free Episodes
X-Men,TV,1992,7+,8.4/10,78/100,+ Rent or Buy,No Free Episodes
The Chosen,TV,2019,all,9.7/10,78/100,,8 Free Episodes
Masters of Sex,TV,2013,18+,7.9/10,78/100,Rent or Buy,No Free Episodes
The Dragon Prince,TV,2018,7+,8.4/10,78/100,,No Free Episodes
John Adams,TV,2008,16+,8.5/10,78/100,+ Rent or Buy,No Free Episodes
The Tudors,TV,2007,18+,8.1/10,78/100,+ Rent or Buy,No Free Episodes
Defending Jacob,TV,2020,18+,7.9/10,78/100,,No Free Episodes
Poldark,TV,2015,16+,8.3/10,78/100,+ Rent or Buy,No Free Episodes
The Act,TV,2019,18+,8.0/10,78/100,Rent or Buy,No Free Episodes
Da Vinci's Demons,TV,2013,18+,8.0/10,78/100,+ Rent or Buy,No Free Episodes
Chicago Fire,TV,2012,16+,8.0/10,78/100,+ Rent or Buy,193 Free Episodes
Haikyu!!,TV,2014,16+,8.7/10,78/100,+ Rent or Buy,73 Free Episodes
Years and Years,TV,2019,18+,8.3/10,78/100,+ Rent or Buy,No Free Episodes
Reign,TV,2013,16+,7.5/10,78/100,+ Rent or Buy,No Free Episodes
Happy Endings,TV,2011,16+,7.7/10,78/100,+ Rent or Buy,22 Free Episodes
American Vandal,TV,2017,16+,8.2/10,78/100,+ Rent or Buy,No Free Episodes
Workaholics,TV,2011,16+,8.1/10,78/100,+ Rent or Buy,1 Free Episodes
Fauda,TV,2015,16+,8.2/10,78/100,,No Free Episodes
My Name Is Earl,TV,2005,16+,7.7/10,78/100,+ Rent or Buy,No Free Episodes
Wild Wild Country,TV,2018,16+,8.2/10,78/100,,No Free Episodes
GLOW,TV,2017,18+,8.0/10,78/100,,No Free Episodes
Planet Earth,TV,2006,all,9.4/10,78/100,+ Rent or Buy,No Free Episodes
"Tiger King: Murder, Mayhem and Madness",TV,2020,18+,7.6/10,78/100,,No Free Episodes
Maniac,TV,2018,18+,7.8/10,78/100,,No Free Episodes
Better Off Ted,TV,2009,7+,8.2/10,78/100,+ Rent or Buy,No Free Episodes
The Good Fight,TV,2017,16+,8.3/10,78/100,+ Rent or Buy,No Free Episodes
Primal,TV,2019,16+,8.7/10,78/100,+ Rent or Buy,5 Free Episodes
In Treatment,TV,2008,18+,8.3/10,78/100,+ Rent or Buy,No Free Episodes
Made For Love,TV,2021,18+,6.9/10,78/100,,No Free Episodes
Carnival Row,TV,2019,18+,7.9/10,78/100,,No Free Episodes
Terminator: The Sarah Connor Chronicles,TV,2008,7+,7.7/10,78/100,+ Rent or Buy,No Free Episodes
Warehouse 13,TV,2009,7+,7.6/10,78/100,+ Rent or Buy,64 Free Episodes
Star Trek: Picard,TV,2020,16+,7.5/10,78/100,+ Rent or Buy,No Free Episodes
The Shannara Chronicles,TV,2016,16+,7.2/10,78/100,+ Rent or Buy,7 Free Episodes
Dark Matter,TV,2015,18+,7.5/10,78/100,+ Rent or Buy,No Free Episodes
The League,TV,2009,18+,8.2/10,78/100,+ Rent or Buy,No Free Episodes
Blue Planet II,TV,2017,7+,9.3/10,78/100,+ Rent or Buy,No Free Episodes
Hawaii Five-0,TV,2010,16+,7.3/10,78/100,+ Rent or Buy,No Free Episodes
Malcolm in the Middle,TV,2000,7+,8.0/10,78/100,,149 Free Episodes
River,TV,2015,7+,8.0/10,78/100,,No Free Episodes
Rectify,TV,2013,16+,8.3/10,78/100,+ Rent or Buy,No Free Episodes
Elfen Lied,TV,2004,18+,8.0/10,78/100,+ Rent or Buy,13 Free Episodes
The Last Ship,TV,2014,16+,7.5/10,78/100,+ Rent or Buy,No Free Episodes
Escape at Dannemora,TV,2018,18+,8.0/10,78/100,+ Rent or Buy,No Free Episodes
The O.C.,TV,2003,16+,7.5/10,78/100,+ Rent or Buy,No Free Episodes
That '70s Show,TV,1998,16+,8.0/10,78/100,+ Rent or Buy,No Free Episodes
Please Like Me,TV,2013,18+,8.5/10,78/100,Rent or Buy,No Free Episodes
The Lost Room,TV,2006,7+,8.2/10,78/100,+ Rent or Buy,3 Free Episodes
The Inbetweeners,TV,2008,18+,8.4/10,78/100,Rent or Buy,No Free Episodes
Timeless,TV,2016,7+,7.7/10,78/100,+ Rent or Buy,No Free Episodes
One Day at a Time,TV,2017,7+,8.2/10,78/100,pop,6 Free Episodes
Party Down,TV,2009,18+,8.2/10,78/100,+ Rent or Buy,No Free Episodes
Colony,TV,2016,16+,7.4/10,78/100,+ Rent or Buy,No Free Episodes
Top Boy,TV,2011,18+,8.4/10,78/100,,No Free Episodes
All American,TV,2018,16+,7.7/10,78/100,+ Rent or Buy,17 Free Episodes
Marvel's The Defenders,TV,2017,18+,7.3/10,78/100,+ Rent or Buy,No Free Episodes
The Strain,TV,2014,18+,7.3/10,78/100,+ Rent or Buy,No Free Episodes
The Vietnam War,TV,2017,18+,9.1/10,78/100,+ Rent or Buy,No Free Episodes
Mystery Science Theater 3000,TV,1988,7+,8.5/10,78/100,+ Rent or Buy,76 Free Episodes
Locke & Key,TV,2020,16+,7.4/10,78/100,,No Free Episodes
Two and a Half Men,TV,2003,16+,7.0/10,78/100,+ Rent or Buy,No Free Episodes
Castle Rock,TV,2018,18+,7.6/10,77/100,Rent or Buy,No Free Episodes
Love,TV,2016,18+,7.7/10,77/100,,No Free Episodes
Teen Titans,TV,2003,7+,7.9/10,77/100,+ Rent or Buy,No Free Episodes
Jujutsu Kaisen,TV,2020,16+,8.8/10,77/100,,16 Free Episodes
Servant,TV,2019,18+,7.5/10,77/100,,No Free Episodes
The Bridge,TV,2011,18+,8.6/10,77/100,+ Rent or Buy,No Free Episodes
Devs,TV,2020,18+,7.7/10,77/100,+ Rent or Buy,No Free Episodes
City on a Hill,TV,2019,18+,7.5/10,77/100,+ Rent or Buy,11 Free Episodes
Marco Polo,TV,2014,18+,8.0/10,77/100,+ Rent or Buy,2 Free Episodes
Everybody Hates Chris,TV,2005,7+,7.4/10,77/100,+ Rent or Buy,88 Free Episodes
Condor,TV,2018,18+,7.7/10,77/100,,No Free Episodes
The Deuce,TV,2017,18+,8.1/10,77/100,+ Rent or Buy,No Free Episodes
You're the Worst,TV,2014,18+,8.1/10,77/100,+ Rent or Buy,No Free Episodes
Key & Peele,TV,2012,18+,8.3/10,77/100,+ Rent or Buy,1 Free Episodes
Ginny & Georgia,TV,2021,16+,7.5/10,77/100,,No Free Episodes
Raising Hope,TV,2010,16+,8.0/10,77/100,+ Rent or Buy,No Free Episodes
Designated Survivor,TV,2016,7+,7.5/10,77/100,+ Rent or Buy,No Free Episodes
The Borgias,TV,2011,18+,7.9/10,77/100,+ Rent or Buy,No Free Episodes
Mayans M.C.,TV,2018,18+,7.6/10,77/100,+ Rent or Buy,No Free Episodes
Hanna,TV,2019,18+,7.5/10,77/100,+ Rent or Buy,No Free Episodes
Dead Like Me,TV,2003,16+,8.1/10,77/100,+ Rent or Buy,29 Free Episodes
The Stranger,TV,2020,18+,7.3/10,77/100,,No Free Episodes
Wynonna Earp,TV,2016,16+,7.5/10,77/100,+ Rent or Buy,No Free Episodes
Forever,TV,2014,7+,8.3/10,77/100,+ Rent or Buy,22 Free Episodes
Saturday Night Live,TV,1975,16+,8.0/10,77/100,+ Rent or Buy,708 Free Episodes
Hell on Wheels,TV,2011,16+,8.3/10,77/100,+ Rent or Buy,No Free Episodes
Mr Inbetween,TV,2018,18+,8.4/10,77/100,+ Rent or Buy,No Free Episodes
The Dark Crystal: Age of Resistance,TV,2019,7+,8.4/10,77/100,,No Free Episodes
Hart of Dixie,TV,2011,7+,7.7/10,77/100,+ Rent or Buy,75 Free Episodes
See,TV,2019,18+,7.6/10,77/100,,No Free Episodes
I Am Not Okay with This,TV,2020,18+,7.5/10,77/100,,No Free Episodes
Sex and the City,TV,1998,18+,7.1/10,77/100,+ Rent or Buy,No Free Episodes
Travelers,TV,2016,16+,8.1/10,77/100,+ Rent or Buy,No Free Episodes
Your Honor,TV,2020,18+,7.6/10,77/100,,1 Free Episodes
Goliath,TV,2016,16+,8.1/10,77/100,,No Free Episodes
Chicago P.D.,TV,2014,16+,8.1/10,77/100,+ Rent or Buy,163 Free Episodes
The Prisoner,TV,1967,7+,8.5/10,77/100,+ Rent or Buy,17 Free Episodes
Merlin,TV,2008,7+,7.9/10,77/100,+ Rent or Buy,65 Free Episodes
Mr. Mercedes,TV,2017,18+,7.8/10,77/100,+ Rent or Buy,20 Free Episodes
Why Women Kill,TV,2019,18+,8.4/10,77/100,+ Rent or Buy,No Free Episodes
Young Sheldon,TV,2017,7+,7.5/10,77/100,+ Rent or Buy,5 Free Episodes
HAPPY!,TV,2017,18+,8.2/10,77/100,+ Rent or Buy,No Free Episodes
And Then There Were None,TV,2015,13+,7.9/10,77/100,+ Rent or Buy,No Free Episodes
Catastrophe,TV,2015,18+,8.2/10,77/100,,No Free Episodes
Top Gear,TV,2002,7+,8.6/10,77/100,moto+ Rent or Buy,No Free Episodes
Bloodline,TV,2015,18+,7.9/10,77/100,+ Rent or Buy,No Free Episodes
Falling Skies,TV,2011,16+,7.2/10,77/100,+ Rent or Buy,No Free Episodes
The Spy,TV,2019,18+,7.9/10,77/100,,No Free Episodes
Awkward.,TV,2011,16+,7.5/10,77/100,+ Rent or Buy,No Free Episodes
My So-Called Life,TV,1994,16+,8.3/10,77/100,+ Rent or Buy,19 Free Episodes
Manifest,TV,2018,16+,7.2/10,77/100,+ Rent or Buy,10 Free Episodes
Constantine,TV,2014,16+,7.5/10,77/100,+ Rent or Buy,1 Free Episodes
Nikita,TV,2010,16+,7.6/10,77/100,+ Rent or Buy,73 Free Episodes
Lethal Weapon,TV,2016,16+,7.9/10,77/100,Rent or Buy,No Free Episodes
Queer Eye,TV,2018,16+,8.5/10,77/100,,No Free Episodes
Patriot,TV,2015,18+,8.3/10,76/100,,No Free Episodes
Ripper Street,TV,2012,18+,8.1/10,76/100,+ Rent or Buy,No Free Episodes
The Magicians,TV,2015,16+,7.6/10,76/100,+ Rent or Buy,No Free Episodes
Heartland,TV,2007,7+,8.4/10,76/100,doveupfa+ Rent or Buy,204 Free Episodes
Lovecraft Country,TV,2020,18+,7.1/10,76/100,+ Rent or Buy,No Free Episodes
Genius,TV,2017,16+,8.3/10,76/100,+ Rent or Buy,4 Free Episodes
The Defiant Ones,TV,2017,18+,8.5/10,76/100,+ Rent or Buy,4 Free Episodes
The Spectacular Spider-Man,TV,2008,7+,8.2/10,76/100,Rent or Buy,No Free Episodes
Lost Girl,TV,2010,16+,7.7/10,76/100,+ Rent or Buy,77 Free Episodes
The Exorcist,TV,2016,16+,8.0/10,76/100,+ Rent or Buy,No Free Episodes
Final Space,TV,2018,16+,8.3/10,76/100,+ Rent or Buy,1 Free Episodes
Ballers,TV,2015,18+,7.6/10,76/100,+ Rent or Buy,No Free Episodes
The 4400,TV,2004,7+,7.3/10,76/100,,No Free Episodes
American Dad!,TV,2005,16+,7.3/10,76/100,+ Rent or Buy,5 Free Episodes
Soul Eater,TV,2008,16+,7.8/10,76/100,+ Rent or Buy,No Free Episodes
The Rookie,TV,2018,16+,8.0/10,76/100,+ Rent or Buy,5 Free Episodes
The Circle,TV,2020,18+,7.4/10,76/100,,No Free Episodes
Rescue Me,TV,2004,18+,8.3/10,76/100,+ Rent or Buy,26 Free Episodes
The Boondocks,TV,2005,18+,8.4/10,76/100,+ Rent or Buy,5 Free Episodes
DAVE,TV,2020,18+,8.4/10,76/100,+ Rent or Buy,No Free Episodes
The Serpent,TV,2021,,7.7/10,76/100,,No Free Episodes
The Gifted,TV,2017,16+,7.3/10,76/100,Rent or Buy,No Free Episodes
Marvel's Runaways,TV,2017,16+,7.0/10,76/100,+ Rent or Buy,No Free Episodes
Episodes,TV,2011,18+,7.8/10,76/100,+ Rent or Buy,No Free Episodes
Haven,TV,2010,16+,7.5/10,76/100,+ Rent or Buy,78 Free Episodes
Batman Beyond,TV,1999,7+,8.1/10,76/100,+ Rent or Buy,No Free Episodes
Damages,TV,2007,18+,8.1/10,76/100,+ Rent or Buy,No Free Episodes
Girls,TV,2012,18+,7.3/10,76/100,+ Rent or Buy,No Free Episodes
"Love, Victor",TV,2020,16+,8.1/10,76/100,,No Free Episodes
Little Fires Everywhere,TV,2020,18+,7.7/10,76/100,+ Rent or Buy,No Free Episodes
Stargate Atlantis,TV,2004,7+,8.1/10,76/100,+ Rent or Buy,No Free Episodes
The Librarians,TV,2014,16+,7.3/10,76/100,+ Rent or Buy,No Free Episodes
Future Man,TV,2017,18+,7.7/10,76/100,+ Rent or Buy,No Free Episodes
My Mad Fat Diary,TV,2013,16+,8.4/10,76/100,,No Free Episodes
Cheers,TV,1982,7+,7.9/10,76/100,+ Rent or Buy,5 Free Episodes
Infinity Train,TV,2019,7+,8.5/10,76/100,+ Rent or Buy,No Free Episodes
Glee,TV,2009,16+,6.7/10,76/100,+ Rent or Buy,No Free Episodes
The Addams Family,TV,1964,all,7.9/10,76/100,+ Rent or Buy,64 Free Episodes
New Amsterdam,TV,2018,16+,8.1/10,76/100,+ Rent or Buy,52 Free Episodes
The Fresh Prince of Bel-Air,TV,1990,7+,7.9/10,76/100,+ Rent or Buy,No Free Episodes
Evil,TV,2019,16+,7.7/10,76/100,+ Rent or Buy,No Free Episodes
The Last Man on Earth,TV,2015,16+,7.3/10,76/100,+ Rent or Buy,No Free Episodes
The Nanny,TV,1993,7+,6.9/10,76/100,,14 Free Episodes
The Following,TV,2013,16+,7.4/10,76/100,Rent or Buy,No Free Episodes
TURN: Washington's Spies,TV,2014,16+,8.1/10,76/100,+ Rent or Buy,No Free Episodes
I May Destroy You,TV,2020,18+,8.1/10,76/100,+ Rent or Buy,No Free Episodes
Them,TV,2021,,7.2/10,76/100,,No Free Episodes
Shadowhunters,TV,2016,16+,6.6/10,76/100,+ Rent or Buy,55 Free Episodes
Outer Banks,TV,2020,18+,7.6/10,76/100,,No Free Episodes
My Brilliant Friend,TV,2018,18+,8.6/10,76/100,+ Rent or Buy,No Free Episodes
Reno 911!,TV,2003,16+,7.9/10,76/100,+ Rent or Buy,79 Free Episodes
TRIGUN,TV,1998,16+,8.3/10,76/100,+ Rent or Buy,No Free Episodes
Looking,TV,2014,18+,8.2/10,76/100,+ Rent or Buy,No Free Episodes
F is for Family,TV,2015,18+,8.0/10,76/100,,No Free Episodes
Fresh Off the Boat,TV,2015,7+,7.8/10,75/100,+ Rent or Buy,No Free Episodes
Angels in America,TV,2003,18+,8.2/10,75/100,+ Rent or Buy,No Free Episodes
Life,TV,2007,16+,8.3/10,75/100,+ Rent or Buy,32 Free Episodes
The Innocent,TV,2021,,8.0/10,75/100,,No Free Episodes
Tokyo Ghoul,TV,2014,16+,7.8/10,75/100,+ Rent or Buy,7 Free Episodes
In the Flesh,TV,2013,18+,8.0/10,75/100,Rent or Buy,No Free Episodes
black-ish,TV,2014,16+,7.1/10,75/100,+ Rent or Buy,4 Free Episodes
Into the Night,TV,2020,18+,7.1/10,75/100,,No Free Episodes
Life on Mars,TV,2006,18+,8.3/10,75/100,Rent or Buy,No Free Episodes
Under the Dome,TV,2013,16+,6.6/10,75/100,+ Rent or Buy,13 Free Episodes
On My Block,TV,2018,16+,8.0/10,75/100,,No Free Episodes
Disenchantment,TV,2018,16+,7.2/10,75/100,,No Free Episodes
Chef's Table,TV,2015,all,8.5/10,75/100,,No Free Episodes
Who Killed Sara?,TV,2021,18+,6.5/10,75/100,,No Free Episodes
M*A*S*H,TV,1972,7+,8.4/10,75/100,+ Rent or Buy,No Free Episodes
American Crime,TV,2015,16+,7.8/10,75/100,Rent or Buy,No Free Episodes
Killjoys,TV,2015,18+,7.2/10,75/100,+ Rent or Buy,1 Free Episodes
Girls5eva,TV,2021,18+,7.3/10,75/100,,3 Free Episodes
Julie and the Phantoms,TV,2020,7+,8.5/10,75/100,,No Free Episodes
Scorpion,TV,2014,16+,7.1/10,75/100,+ Rent or Buy,No Free Episodes
Bleach,TV,2004,18+,8.1/10,75/100,+ Rent or Buy,380 Free Episodes
Death in Paradise,TV,2011,16+,7.8/10,75/100,+ Rent or Buy,No Free Episodes
Empire,TV,2015,16+,7.4/10,75/100,+ Rent or Buy,No Free Episodes
Debris,TV,2021,16+,6.6/10,75/100,,12 Free Episodes
The Order,TV,2019,18+,6.8/10,75/100,,No Free Episodes
Crazy Ex-Girlfriend,TV,2015,16+,7.8/10,75/100,+ Rent or Buy,No Free Episodes
Legacies,TV,2018,16+,7.4/10,75/100,+ Rent or Buy,18 Free Episodes
Dirty Money,TV,2018,16+,8.1/10,75/100,,No Free Episodes
Regular Show,TV,2010,7+,8.4/10,75/100,+ Rent or Buy,1 Free Episodes
Stargate Universe,TV,2009,16+,7.6/10,75/100,+ Rent or Buy,No Free Episodes
The Bridge,TV,2013,18+,7.6/10,75/100,+ Rent or Buy,No Free Episodes
Top of the Lake,TV,2013,18+,7.5/10,75/100,+ Rent or Buy,No Free Episodes
The Bureau,TV,2015,16+,8.7/10,75/100,+ Rent or Buy,No Free Episodes
The Girlfriend Experience,TV,2016,18+,7.1/10,75/100,+ Rent or Buy,No Free Episodes
Mozart in the Jungle,TV,2014,18+,8.1/10,75/100,,No Free Episodes
Whose Line Is It Anyway?,TV,1998,16+,8.5/10,75/100,+ Rent or Buy,406 Free Episodes
The Keepers,TV,2017,16+,8.1/10,75/100,,No Free Episodes
The Midnight Gospel,TV,2020,18+,8.3/10,75/100,,No Free Episodes
Dickinson,TV,2019,16+,7.4/10,75/100,,No Free Episodes
Search Party,TV,2016,18+,7.7/10,75/100,+ Rent or Buy,No Free Episodes
The Goldbergs,TV,2013,7+,8.1/10,75/100,+ Rent or Buy,4 Free Episodes
Shrill,TV,2019,18+,7.4/10,75/100,+ Rent or Buy,No Free Episodes
Sailor Moon,TV,1992,16+,7.7/10,75/100,+ Rent or Buy,No Free Episodes
Lupin,TV,2021,,7.6/10,75/100,,No Free Episodes
Star Trek: Enterprise,TV,2001,7+,7.5/10,75/100,+ Rent or Buy,No Free Episodes
Imposters,TV,2017,16+,7.8/10,75/100,+ Rent or Buy,No Free Episodes
Insecure,TV,2016,18+,7.9/10,75/100,+ Rent or Buy,No Free Episodes
Animal Kingdom,TV,2016,18+,8.2/10,75/100,+ Rent or Buy,No Free Episodes
Portlandia,TV,2011,16+,7.8/10,75/100,+ Rent or Buy,No Free Episodes
Being Human,TV,2008,16+,7.8/10,75/100,+ Rent or Buy,36 Free Episodes
The Mighty Boosh,TV,2004,16+,8.3/10,75/100,Rent or Buy,No Free Episodes
Sleepy Hollow,TV,2013,16+,7.4/10,75/100,+ Rent or Buy,No Free Episodes
Charmed,TV,1998,16+,7.1/10,75/100,+ Rent or Buy,170 Free Episodes
Formula 1: Drive to Survive,TV,2019,16+,8.6/10,75/100,,No Free Episodes
Better Things,TV,2016,18+,7.8/10,75/100,+ Rent or Buy,No Free Episodes
Looking for Alaska,TV,2019,18+,8.1/10,75/100,+ Rent or Buy,No Free Episodes
The Resident,TV,2018,16+,7.7/10,75/100,+ Rent or Buy,4 Free Episodes
Fullmetal Alchemist,TV,2003,16+,8.5/10,74/100,+ Rent or Buy,No Free Episodes
Wayward Pines,TV,2015,16+,7.4/10,74/100,+ Rent or Buy,No Free Episodes
Covert Affairs,TV,2010,16+,7.3/10,74/100,+ Rent or Buy,75 Free Episodes
Absolutely Fabulous,TV,1992,16+,8.1/10,74/100,+ Rent or Buy,No Free Episodes
Quantum Leap,TV,1989,7+,8.1/10,74/100,+ Rent or Buy,95 Free Episodes
Galavant,TV,2015,7+,8.1/10,74/100,Rent or Buy,No Free Episodes
Letterkenny,TV,2016,18+,8.6/10,74/100,,No Free Episodes
Gentleman Jack,TV,2019,18+,8.2/10,74/100,+ Rent or Buy,No Free Episodes
I Know This Much Is True,TV,2020,18+,8.2/10,74/100,+ Rent or Buy,No Free Episodes
Treme,TV,2010,18+,8.2/10,74/100,+ Rent or Buy,No Free Episodes
Ramy,TV,2019,18+,8.1/10,74/100,+ Rent or Buy,No Free Episodes
Gavin & Stacey,TV,2007,16+,8.1/10,74/100,+ Rent or Buy,20 Free Episodes
Snowpiercer,TV,2020,18+,6.9/10,74/100,+ Rent or Buy,No Free Episodes
Modern Love,TV,2019,18+,8.0/10,74/100,,No Free Episodes
Prime Suspect,TV,1991,18+,8.4/10,74/100,+ Rent or Buy,No Free Episodes
She-Ra and the Princesses of Power,TV,2018,all,7.9/10,74/100,+ Rent or Buy,No Free Episodes
Hellsing Ultimate,TV,2006,18+,8.3/10,74/100,,No Free Episodes
Wilfred,TV,2011,18+,7.8/10,74/100,+ Rent or Buy,No Free Episodes
Samurai Jack,TV,2001,16+,8.5/10,74/100,+ Rent or Buy,5 Free Episodes
O.J.: Made in America,TV,2016,18+,8.9/10,74/100,Rent or Buy,No Free Episodes
Mildred Pierce,TV,2011,18+,7.7/10,74/100,+ Rent or Buy,No Free Episodes
Spartacus: Gods of the Arena,TV,2011,18+,8.5/10,74/100,+ Rent or Buy,No Free Episodes
ZeroZeroZero,TV,2020,18+,8.2/10,74/100,,No Free Episodes
Sports Night,TV,1998,7+,8.3/10,74/100,+ Rent or Buy,45 Free Episodes
Dragon Ball,TV,1996,16+,8.5/10,74/100,+ Rent or Buy,No Free Episodes
Skins,TV,2007,18+,8.2/10,74/100,Rent or Buy,No Free Episodes
Deutschland,TV,2015,18+,8.1/10,74/100,+ Rent or Buy,No Free Episodes
Hilda,TV,2018,7+,8.6/10,74/100,,No Free Episodes
Dragon Ball Super,TV,2015,7+,8.4/10,74/100,+ Rent or Buy,98 Free Episodes
ERASED,TV,2016,16+,8.5/10,74/100,,12 Free Episodes
Don't F**k with Cats: Hunting an Internet Killer,TV,2019,18+,8.0/10,74/100,,No Free Episodes
Sesame Street,TV,1969,all,8.1/10,74/100,+ Rent or Buy,8 Free Episodes
Big Sky,TV,2020,16+,6.7/10,74/100,+ Rent or Buy,6 Free Episodes
The Unit,TV,2006,16+,8.1/10,74/100,+ Rent or Buy,No Free Episodes
"I, Claudius",TV,1976,,8.8/10,74/100,+ Rent or Buy,No Free Episodes
Sword Art Online,TV,2012,18+,7.6/10,74/100,+ Rent or Buy,81 Free Episodes
Pennyworth,TV,2019,18+,7.9/10,74/100,+ Rent or Buy,No Free Episodes
Nashville,TV,2012,7+,7.7/10,74/100,+ Rent or Buy,No Free Episodes
Switched at Birth,TV,2011,16+,7.7/10,74/100,+ Rent or Buy,103 Free Episodes
MacGyver,TV,1985,7+,7.7/10,74/100,+ Rent or Buy,80 Free Episodes
Being Human,TV,2011,16+,7.5/10,74/100,+ Rent or Buy,22 Free Episodes
The Haunting of Bly Manor,TV,2020,,7.4/10,74/100,,No Free Episodes
The Tick,TV,2016,7+,7.4/10,74/100,+ Rent or Buy,No Free Episodes
Invader ZIM,TV,2001,7+,8.3/10,74/100,+ Rent or Buy,No Free Episodes
The Closer,TV,2005,16+,7.6/10,74/100,+ Rent or Buy,No Free Episodes
Batman,TV,1966,7+,7.5/10,74/100,Rent or Buy,No Free Episodes
Kuroko's Basketball,TV,2012,,8.3/10,74/100,,125 Free Episodes
Columbo,TV,1971,7+,8.2/10,74/100,+ Rent or Buy,65 Free Episodes
Nip/Tuck,TV,2003,18+,7.6/10,74/100,+ Rent or Buy,No Free Episodes
CSI: Crime Scene Investigation,TV,2000,16+,7.6/10,74/100,+ Rent or Buy,1 Free Episodes
Deadly Class,TV,2019,18+,7.6/10,74/100,+ Rent or Buy,10 Free Episodes
