Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On
Harry Potter and the Philosopher's Stone,2001,7+,7.6/10,83/100,+ Rent or Buy
The Way of the Dragon,1972,18+,7.3/10,83/100,+ Rent or Buy
Sansho the Bailiff,1954,,8.4/10,83/100,+ Rent or Buy
Angels with Dirty Faces,1938,,7.9/10,83/100,Rent or Buy
Super Deluxe,2019,18+,8.4/10,83/100,+ Rent or Buy
The Double Life of Véronique,1991,18+,7.8/10,83/100,+ Rent or Buy
Avatar,2009,13+,7.8/10,83/100,+ Rent or Buy
Following,1999,18+,7.5/10,83/100,+ Rent or Buy
1917,2019,18+,8.3/10,83/100,+ Rent or Buy
My Dinner with Andre,1981,7+,7.8/10,83/100,+ Rent or Buy
The Grand Budapest Hotel,2014,18+,8.1/10,83/100,Rent or Buy
The Thin Blue Line,1988,,8.0/10,83/100,+ Rent or Buy
The Distinguished Citizen,2016,,7.5/10,83/100,
What Happened to Monday,2017,18+,6.9/10,83/100,
Pad Man,2018,13+,7.9/10,83/100,
Inside Out,2015,7+,8.1/10,83/100,+ Rent or Buy
Batman Beyond: Return of the Joker,2000,13+,7.8/10,83/100,+ Rent or Buy
PlayTime,1967,,7.9/10,83/100,+ Rent or Buy
Limelight,1952,all,8.1/10,83/100,+ Rent or Buy
Spider-Man: Into the Spider-Verse,2018,7+,8.4/10,83/100,+ Rent or Buy
Hacksaw Ridge,2016,18+,8.1/10,83/100,+ Rent or Buy
City of God,2002,18+,8.6/10,83/100,+ Rent or Buy
Kill Bill: Vol. 1,2003,18+,8.1/10,82/100,+ Rent or Buy
Touching the Void,2003,18+,8.0/10,82/100,Rent or Buy
Prisoners,2013,16+,8.1/10,82/100,+ Rent or Buy
My Life as a Dog,1985,,7.6/10,82/100,+ Rent or Buy
A Short Film About Love,1988,,8.2/10,82/100,
The Martian,2015,13+,8.0/10,82/100,+ Rent or Buy
How to Train Your Dragon,2010,7+,8.1/10,82/100,+ Rent or Buy
Eurovision Song Contest: The Story of Fire Saga,2020,13+,6.5/10,82/100,
Sweet Smell of Success,1957,,8.0/10,82/100,Rent or Buy
The Fear of 13,2015,16+,7.6/10,82/100,+ Rent or Buy
Heavenly Creatures,1994,18+,7.3/10,82/100,Rent or Buy
Army of Shadows,1969,,8.2/10,82/100,Rent or Buy
Primer,2004,13+,6.9/10,82/100,Rent or Buy
Pirates of the Caribbean: The Curse of the Black Pearl,2003,13+,8.0/10,82/100,+ Rent or Buy
Lifeboat,1944,18+,7.6/10,82/100,Rent or Buy
No Country for Old Men,2007,18+,8.1/10,82/100,+ Rent or Buy
Jurassic Park,1993,13+,8.1/10,82/100,Rent or Buy
Murderball,2005,18+,7.7/10,82/100,
