Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On,url_offset_value
Yellow Submarine,1968,all,7.4/10,81/100,Rent or Buy,350
The Grand Budapest Hotel,2014,18+,8.1/10,81/100,Rent or Buy,350
The Hateful Eight,2015,18+,7.8/10,81/100,+ Rent or Buy,350
A Short Film About Killing,1988,N/A,8.1/10,81/100,,350
The Sweet Hereafter,1997,18+,7.5/10,81/100,+ Rent or Buy,350
Harry Potter and the Goblet of Fire,2005,13+,7.7/10,81/100,+ Rent or Buy,350
Amélie,2001,18+,8.3/10,81/100,+ Rent or Buy,350
American Beauty,1999,18+,8.3/10,81/100,+ Rent or Buy,350
There Will Be Blood,2007,18+,8.2/10,81/100,+ Rent or Buy,350
Harry Potter and the Chamber of Secrets,2002,7+,7.4/10,81/100,+ Rent or Buy,350
Nobody Knows,2004,13+,8.1/10,81/100,Rent or Buy,350
La La Land,2016,13+,8.0/10,81/100,+ Rent or Buy,350
Over the Moon,2020,7+,6.4/10,81/100,,350
Requiem for a Dream,2000,18+,8.3/10,81/100,+ Rent or Buy,350
Black Swan,2010,18+,8.0/10,81/100,+ Rent or Buy,350
Masquerade,2012,N/A,7.8/10,81/100,+ Rent or Buy,350
My Name Is Khan,2010,13+,8.0/10,81/100,Rent or Buy,350
Winnie the Pooh,2011,all,7.2/10,81/100,+ Rent or Buy,350
Au Hasard Balthazar,1966,N/A,7.9/10,81/100,+ Rent or Buy,350
Red Desert,1964,N/A,7.6/10,81/100,,350
Black Panther,2018,13+,7.3/10,81/100,+ Rent or Buy,350
The Big Short,2015,18+,7.8/10,81/100,+ Rent or Buy,350
The Aristocats,1970,all,7.1/10,81/100,+ Rent or Buy,350
Casablanca,1943,7+,8.5/10,81/100,+ Rent or Buy,350
Team Foxcatcher,2016,16+,7.3/10,81/100,,350
Wonder Woman,2017,13+,7.4/10,81/100,+ Rent or Buy,350
