,,Title,,Year,Rating,,,Available On,,
46,,Tales from the Crypt,TV,1989,18+,8.0/10,80/100,Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
47,,New Amsterdam,TV,2018,16+,8.1/10,76/100,+Rent or Buy,52Free Episodes,TrackHave You Seen?AllSomeNoneCancel
48,,Psych,TV,2006,7+,8.3/10,85/100,+Rent or Buy,120Free Episodes,TrackHave You Seen?AllSomeNoneCancel
49,,Cowboy Bebop,TV,1998,18+,8.9/10,80/100,+Rent or Buy,26Free Episodes,TrackHave You Seen?AllSomeNoneCancel
0,,Futurama,TV,1999,16+,8.4/10,88/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
1,,Alone,TV,2015,16+,8.4/10,73/100,+Rent or Buy,78Free Episodes,TrackHave You Seen?AllSomeNoneCancel
2,,Hannibal,TV,2013,18+,8.5/10,89/100,Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
3,,The Serpent,TV,2021,N/A,7.7/10,76/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
4,,WandaVision,TV,2021,16+,8.1/10,89/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
5,,Succession,TV,2018,18+,8.6/10,85/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
6,,Highlander: The Series,TV,1992,16+,7.2/10,66/100,+Rent or Buy,121Free Episodes,TrackHave You Seen?AllSomeNoneCancel
7,,Breaking Bad,TV,2008,18+,9.4/10,100/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
8,,Law & Order,TV,1990,16+,7.7/10,73/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
9,,Godfather of Harlem,TV,2019,18+,8.0/10,79/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
10,,Death and Nightingales,TV,2018,N/A,6.4/10,59/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
11,,90 Day Fiancé,TV,2014,16+,6.4/10,63/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
12,,Black Mirror,TV,2011,18+,8.8/10,93/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
13,,The Queen's Gambit,TV,2020,18+,8.6/10,91/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
14,,The Girlfriend Experience,TV,2016,18+,7.1/10,75/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
15,,Battlestar Galactica,TV,2003,16+,8.6/10,71/100,,2Free Episodes,TrackHave You Seen?AllSomeNoneCancel
16,,Tom Clancy's Jack Ryan,TV,2018,18+,8.1/10,84/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
17,,Rutherford Falls,TV,2021,16+,6.4/10,64/100,,3Free Episodes,TrackHave You Seen?AllSomeNoneCancel
18,,Intergalactic,TV,2021,N/A,3.9/10,55/100,,1Free Episodes,TrackHave You Seen?AllSomeNoneCancel
19,,The Goldbergs,TV,2013,7+,8.1/10,75/100,+Rent or Buy,4Free Episodes,TrackHave You Seen?AllSomeNoneCancel
20,,Breeders,TV,2020,18+,7.3/10,73/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
21,,Dark Side of the Ring,TV,2019,16+,8.7/10,71/100,+Rent or Buy,2Free Episodes,TrackHave You Seen?AllSomeNoneCancel
22,,Sons of Anarchy,TV,2008,18+,8.5/10,88/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
23,,Anthony Bourdain: Parts Unknown,TV,2013,7+,8.8/10,70/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
24,,American Crime,TV,2015,16+,7.8/10,75/100,Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
